State,Firearm Death Rate,Firearm Deaths
Alabama,21.5,1046
Alaska,23.3,177
Arizona,15.2,1094
Arkansas,17.8,541
California,7.9,3184
Colorado,14.3,812
Connecticut,4.6,172
Delaware,11,111
Florida,12.6,2704
Georgia,15,1571
Hawaii,4.5,66
Idaho,14.6,242
Illinois,11.7,1490
Indiana,15,997
Iowa,9.2,288
Kansas,13.4,383
Kentucky,17.5,772
Louisiana,21.3,987
Maine,8.3,123
Maryland,11.9,707
Massachusetts,3.4,242
Michigan,12.3,1230
Minnesota,7.6,432
Mississippi,19.9,587
Missouri,19,1144
Montana,18.9,194
Nebraska,9.1,171
Nevada,16.8,498
New Hampshire,9.3,132
New Jersey,5.5,485
New Mexico,18.1,383
New York,4.4,900
North Carolina,13.7,1409
North Dakota,11.9,90
Ohio,12.9,1524
Oklahoma,19.6,766
Oregon,11.9,513
Pennsylvania,12,1555
Rhode Island,4.1,49
South Carolina,17.7,891
South Dakota,13.4,108
Tennessee,17.1,1148
Texas,12.1,3353
Utah,12.9,370
Vermont,11.1,78
Virginia,12.1,1049
Washington,9,686
West Virginia,17.5,332
Wisconsin,11.4,664
Wyoming,17.4,101
